"Timestamp","Género","Edad","Altura en metros","Hornalla favorita","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante derecha]","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás derecha]","La cocina es","¿Con qué encendés las hornallas?","¿Con qué frecuencia usás una hornalla?","¿Cuál es tu mano más hábil?","¿Tenés niñes menores en tu casa?","¿Tenés mascotas en tu casa?","¿Hacia qué lado del anafe tenés mesada?"
"2020/08/11 8:16:14 PM GMT-3","Mujer","33","1.65","Atrás derecha","Baja","Funciona mal","Media","Alta","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:16:18 PM GMT-3","Mujer","29","1.55","Adelante izquierda","Funciona mal","Alta","Media","Media","A gas","Fósforos","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 8:16:21 PM GMT-3","Hombre","26","1.84","Atrás derecha","Alta","Baja","Media","Alta","A gas","Encendedor;Fósforos","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 8:16:26 PM GMT-3","Mujer","26","1.56","Atrás derecha","Media","Baja","Alta","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:16:29 PM GMT-3","Otre","36","1.60","Adelante izquierda","Baja","Alta","Media","No tengo","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:16:35 PM GMT-3","Mujer","19","155","Adelante derecha","Media","Media","Media","Media","A gas","Magiclik","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 8:16:43 PM GMT-3","Mujer","29","1.60","Adelante derecha","Media","Media","Alta","Media","A gas","Encendedor;Fósforos","Todos los días","Izquierda","No","No","Derecha"
"2020/08/11 8:17:00 PM GMT-3","Mujer","39","1.73","Adelante derecha","Baja","Baja","Media","Media","A gas","Es automático","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:17:24 PM GMT-3","Hombre","26","1.94","Adelante derecha","Alta","Alta","Alta","Alta","A gas","Encendedor","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 8:17:50 PM GMT-3","Mujer","22","1.58","Adelante izquierda","Alta","Media","Baja","Alta","A gas","Fósforos","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:17:51 PM GMT-3","Mujer","30","1.72","Atrás derecha","Media","Alta","Funciona mal","Funciona mal","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:17:59 PM GMT-3","Hombre","37","1.80","Atrás derecha","Alta","Media","Baja","Alta","A gas","Encendedor","Todos los días","Derecha","Sí","No","Izquierda;Derecha"
"2020/08/11 8:17:59 PM GMT-3","Hombre","25","1.87","Adelante izquierda","Alta","Funciona mal","Baja","Media","A gas","Botón de la cocina","Una vez por semana o menos","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:18:00 PM GMT-3","Mujer","31","1.65","Atrás izquierda","Media","Media","Media","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:18:05 PM GMT-3","Hombre","35","1.80","Atrás izquierda","Media","Media","Media","Media","A gas","Fósforos","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:18:09 PM GMT-3","Mujer","43","1.54","Adelante derecha","Alta","Alta","Alta","Alta","A gas","Encendedor","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 8:18:10 PM GMT-3","Hombre","57","1.80","Adelante derecha","Alta","Alta","Baja","Alta","A gas","Magiclik","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 8:18:29 PM GMT-3","Mujer","22","1.58","Adelante izquierda","Alta","Media","Baja","Funciona mal","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:18:33 PM GMT-3","Mujer","28","1.61","Adelante derecha","Funciona mal","Baja","Alta","Funciona mal","A gas","Fósforos","Día por medio","Izquierda","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:18:34 PM GMT-3","Hombre","26","1.84","Atrás izquierda","Alta","Baja","Baja","Alta","A gas","Botón de la cocina","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 8:18:46 PM GMT-3","Hombre","40","1.86","Adelante derecha","Baja","Baja","Alta","Media","A gas","Botón de la cocina","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:18:46 PM GMT-3","Hombre","37","1.77","Adelante izquierda","Media","Alta","Baja","Media","A gas","Magiclik;Botón de la cocina","Todos los días","Derecha","Sí","No","Derecha"
"2020/08/11 8:18:46 PM GMT-3","Mujer","24","1.70","Adelante izquierda","Alta","Alta","Media","Media","A gas","Magiclik","Todos los días","Derecha","No","No","Izquierda;Derecha"
"2020/08/11 8:18:55 PM GMT-3","Mujer","21","1.63","Adelante izquierda","Media","Media","Alta","Baja","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:18:55 PM GMT-3","Mujer","25","1.56","Atrás derecha","Media","Baja","Baja","Alta","A gas","Encendedor;Fósforos;Es automático","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:18:56 PM GMT-3","Mujer","59","1.64","Adelante izquierda","No tengo","Alta","Media","Media","A gas","Magiclik;Fósforos","Una vez por semana o menos","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:19:05 PM GMT-3","Mujer","45","1.6","Adelante izquierda","Alta","Media","Baja","Media","A gas","Magiclik","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 8:19:14 PM GMT-3","Mujer","25","1.55","Adelante derecha","Media","No tengo","Alta","Alta","A gas","Encendedor;Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:19:21 PM GMT-3","Mujer","61","1.60","Adelante izquierda","Funciona mal","Alta","Media","Media","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
